track_name,artist_name,popularity,danceability,energy,key,loudness,acousticness,liveness,duration_ms,streaming_count,duration_minutes
28,Zach Bryan,82,-1.0638615194605943,-0.7060933807738541,7,-0.08244668608495108,-0.09750493717386542,-0.8461379588740043,233333,830000,3.8888833333333332
Lies Lies Lies,Morgan Wallen,82,-1.1038344608003061,0.3380622372067723,1,0.21838022945012814,-0.050156430603035804,-0.6783822616717922,198069,830000,3.30115
Judge Judy,"Tyler, The Creator",83,-0.1977811237668402,0.1041257326318782,1,0.1789100313125469,0.17869468448930764,-0.11306854233283044,269622,870000,4.4937
Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator",83,-0.9905777936711226,0.08700842741908102,6,0.20104534513294706,0.8218452320764109,1.5491682746936557,253910,890000,4.231833333333333
Espresso,Sabrina Carpenter,90,0.32852927053936387,0.6689968046541843,0,0.29305357727798476,-0.5709900028821623,0.04013300762352765,175459,900000,2.9243166666666665
Austin (Boots Stop Workin'),Dasha,87,0.6949478994867216,0.16688918507880118,0,-0.04430994058715298,0.8376280676000208,-0.5496929597084513,171783,860000,2.86305
A Bar Song (Tipsy),Shaboozey,86,0.4684345652283551,0.3780026160366324,9,0.4338661760390855,-0.7434174809776004,-0.7611110986482256,171292,820000,2.8548666666666667
Hey Jane,"Tyler, The Creator",83,-1.0438750487907384,0.8059352463565618,10,-0.12005005052683598,1.196687575762146,3.3799267966721356,240742,870000,4.012366666666667
Please Please Please,Sabrina Carpenter,87,0.15531319140061367,-0.3238068976880512,9,0.13090573628035326,0.02086632925320878,-0.580333269699723,186365,830000,3.1060833333333333
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,82,-1.097172303910354,0.08700842741908102,5,-0.9057203458870696,-0.9585769862532122,-0.6109735796909945,210950,820000,3.515833333333333
Balloon (feat. Doechii),"Tyler, The Creator",82,-1.4302801484079517,1.285219792314882,6,0.9459119897158161,1.891132338800981,0.4154768050166053,154261,820000,2.5710166666666665
A Bar Song (Tipsy),Shaboozey,84,0.4684345652283551,0.3608853108238352,9,0.45866839513905217,-0.7090898137137488,-0.8637561371189855,171292,880000,2.8548666666666667
I Had Some Help (Feat. Morgan Wallen),Post Malone,84,-0.09118661352760885,1.2110448030594276,7,0.45786832355518226,-0.9633118369102952,0.4997376574926021,178206,840000,2.9701
CHIHIRO,Billie Eilish,88,0.32186711364941195,-1.242435610774832,7,-1.5879147164001304,-0.4249987742887708,-0.741194897153899,303440,820000,5.057333333333333
one of wun,Gunna,84,1.7542308449890827,-1.0826740954553917,10,0.5301414566314291,-0.6491150387240312,-0.580333269699723,144000,880000,2.4
Diet Pepsi,Addison Rae,88,0.11534025006090191,-0.4664511077946937,10,0.01036161764395629,0.9599450429079974,-0.6462099361809569,169698,840000,2.8283
I Killed You,"Tyler, The Creator",82,0.6483128012570579,1.4449813076343223,2,0.4448004876853075,0.41149150846255356,0.6682593624445963,168421,880000,2.8070166666666667
Please Please Please,Sabrina Carpenter,88,0.11534025006090191,-0.3238068976880512,9,0.13437271314378943,0.08794338022855089,-0.580333269699723,186365,840000,3.1060833333333333
LUNCH,Billie Eilish,86,1.6076633934101394,-1.3850798208814747,11,-0.3744728141974614,-0.8148348117219352,-0.8928644316106935,179587,850000,2.993116666666667
Like That,Future,83,1.0813529991039346,0.18971225869586408,11,0.5085395238669421,-0.9652057771731283,-0.4654321072324543,267707,830000,4.461783333333333
NEW DROP,Don Toliver,85,0.7016100563766736,-0.08416462470889073,4,-0.0368426058043672,-0.24744187464815942,0.3158957975449724,217333,850000,3.6222166666666666
Stargazing,Myles Smith,88,-0.11117308419746472,-0.2382203716240653,1,0.11943804357821834,-0.022536468436718467,-0.5343728047128155,172533,880000,2.87555
Scared To Start,Michael Marcagi,85,-0.8306860283122757,-0.5235087918373509,7,-1.2484176743113393,0.5219713571278229,1.710029902147832,159636,860000,2.6606
DOS DÍAS,Tito Double P,88,0.6216641736972501,-0.7403279911994485,1,-0.677166563428237,2.09630920060791,0.2775954100558828,154620,760000,2.577
Tomorrow,"Tyler, The Creator",81,-1.2570640692692008,-0.5805664758800082,1,-0.004573051921615031,2.2067890492731794,-0.41947164224554684,182326,810000,3.0387666666666666
Si Antes Te Hubiera Conocido,KAROL G,93,1.8141902569986503,0.14406611146173828,11,-0.05817784804089766,0.7666053077437762,-0.8576280751207312,195824,930000,3.263733333333333
