track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,streaming_count
1d966178PJg6b4kcXqoYF3,The Thin Grey Line,$uicideboy$,71,0.761,0.806,1,-4.926,1,0.174,0.0232,1.66E-05,0.277,0.381,142.908,105724,4,830000
55dLT3WApUJBEWxSJSivyt,"I Love You, I'm Sorry - Live From Vevo",Gracie Abrams,74,0.447,0.458,10,-9.129,1,0.0311,0.65,2.68E-05,0.0949,0.211,116.855,204165,4,570000
3TPKsQTu9jZyzQJiax5rLA,Aquamarine,Addison Rae,76,0.568,0.827,7,-8.266,0,0.0326,0.0765,0.0243,0.096,0.685,112.035,162815,4,760000
2DXK0YNGSqnaIEX5iaSIoK,RELOJ,Peso Pluma,74,0.553,0.48,3,-9.886,0,0.0498,0.597,0.00586,0.0943,0.456,173.009,232205,3,760000
1Ftb0PK0Qqwax3gofiMd2X,I CAN’T LET GO,Lil Tecca,73,0.649,0.761,8,-4.204,1,0.152,0.00694,0,0.207,0.313,147.216,150204,4,730000
34cLr4m5Sxe84XE5oBfO2Q,Out of Oklahoma (From Twisters: The Album),Lainey Wilson,70,0.621,0.468,9,-8.781,1,0.0327,0.451,0.000388,0.105,0.475,141.998,208267,4,710000
5wttBUDyaHAR5q9fYnN3YF,prove it,21 Savage,73,0.565,0.743,6,-5.425,0,0.172,0.377,0,0.23,0.266,133.924,207586,4,750000
1jIirpaACmgb4nTYfywys4,BELANOVA,Peso Pluma,79,0.726,0.808,1,-5.845,1,0.064,0.556,5.40E-06,0.208,0.814,129.84,164822,3,700000
3Y1EvIgEVw51XtgNEgpz5c,Von dutch,Charli xcx,75,0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,164284,4,710000
48vIfHaK7by6x0T6ucpODL,Make You Mine,Madison Beer,78,0.533,0.642,6,-6.315,0,0.0403,0.221,0.00697,0.238,0.488,123.128,221709,4,730000
0F60WLPs6Oz2slHomvLt9U,We Good,Lil Uzi Vert,71,0.587,0.8,11,-3.194,1,0.243,0.0461,0,0.344,0.823,144.332,125000,4,830000
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,83,0.668,0.628,8,-4.692,1,0.046,0.129,0,0.0293,0.568,140.053,138213,4,800000
2M8IvrzqvNMAJsAx7UYwXK,Bass Boat,Zach Bryan,71,0.527,0.192,0,-14.979,1,0.147,0.777,0.00157,0.102,0.18,81.73,216728,4,690000
62E2nR0od0M5HYxuYLaDz7,The Black Dog,Taylor Swift,74,0.527,0.27,0,-10.855,1,0.038,0.707,0,0.102,0.23,154.042,238857,4,720000
5B5eTk7DF8KVp1zpQoY1XY,The Reason,Hoobastank,79,0.474,0.671,4,-4.649,1,0.0289,0.0129,0,0.159,0.0682,82.94,232800,4,840000
5In8B6Om5OKrhwBMB4tXSi,Fuel,Eminem,76,0.885,0.662,1,-5.139,1,0.142,0.121,0,0.109,0.117,137.981,213646,4,730000
36t6frENUtCYKuZus6aYDO,Who’s Afraid of Little Old Me?,Taylor Swift,74,0.606,0.338,0,-10.555,1,0.048,0.315,0,0.106,0.238,119.88,334085,4,690000
62oLxos6R04SVYL1lXidvu,2 Slippery (feat. BossMan Dlow),Luh Tyler,69,0.608,0.4,1,-9.519,1,0.32,0.029,0.000327,0.119,0.089,106.682,159228,5,710000
1JF8LkQWZ8grXb2emqrNKn,Brokey,Latto,70,0.776,0.525,1,-6.723,1,0.137,0.0366,0,0.108,0.467,75.013,217613,4,740000
4qTGOuXmoR7fk7dApMlQjG,Get in the Water,Jorge Rivera-Herrans,72,0.227,0.572,2,-7.003,0,0.0805,0.493,0,0.12,0.234,185.199,220737,3,710000
0D89q3d3eclowHBcDQZ4qn,Packing It Up,Gracie Abrams,73,0.662,0.441,2,-7.207,1,0.0475,0.77,0,0.277,0.666,115.777,164109,4,790000
3h76tbaYIamSeJL81X7ZwI,Cry,Benson Boone,75,0.711,0.48,10,-5.251,1,0.0365,0.104,1.55E-05,0.0894,0.352,107.948,186360,4,780000
1qJGJR5DXftoDjeNjNvIDy,Last Lap,Rod Wave,69,0.738,0.404,6,-10.507,0,0.114,0.324,0,0.269,0.43,90.002,248320,4,720000
7x5CvENf43u875TNrtqT1h,One Take Freestyle,1900Rugrat,70,0.508,0.724,10,-6.409,0,0.311,0.232,1.02E-06,0.271,0.405,159.895,179907,4,740000
0HGItm7Ox9AnHZbx26nkE4,HEAT STICK,Shoreline Mafia,70,0.942,0.461,11,-8.233,0,0.302,0.0726,9.54E-06,0.111,0.281,105.025,137143,4,760000
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),Post Malone,72,0.608,0.914,8,-4.116,1,0.0721,0.00545,0,0.137,0.511,120.01,164011,4,740000
26TX1oZbaDeKxfTYDclSAo,2AM,BigXthaPlug,69,0.884,0.681,8,-5.839,1,0.149,0.0439,0,0.277,0.324,114.991,184294,4,720000
2dKkVF2m160z0RNDN2dddc,NISSAN ALTIMA,Doechii,71,0.974,0.711,11,-5.206,0,0.194,0.0988,3.92E-05,0.0888,0.328,117.038,126832,4,760000
6O3WfmAQIgnLBGVzZJVS40,Talk My Shit,BossMan Dlow,69,0.614,0.463,1,-7.052,1,0.189,0.00923,0,0.263,0.252,112.789,104471,5,740000
2gmd7lY3QSzLh0xIY4cRvi,SE ME OLVIDA,Maisak,84,0.786,0.707,7,-4.386,0,0.0635,0.0399,0,0.121,0.691,82.045,225373,4,720000
2oVVaVY0LkzwAYYcyzon6Z,Heart Of A Woman,Summer Walker,73,0.716,0.43,9,-8.28,0,0.112,0.482,0,0.146,0.472,129.93,171000,4,820000
60fniRXixufxR4HCYjOyp6,Vuelve,Ivan Cornejo,73,0.462,0.358,5,-9.085,1,0.0388,0.617,0,0.106,0.247,84.501,162249,3,740000
6zhZeNc8MC9QyFyN2ZgBuz,Six Hundred Strike,Jorge Rivera-Herrans,72,0.365,0.861,8,-4.998,1,0.206,0.135,0,0.425,0.135,79.175,211765,4,690000
587pEvJ7iJhNtcCf5YKEgE,Tal Vez Fui Yo,El Padrinito Toys,80,0.583,0.774,5,-5.326,1,0.0337,0.195,0,0.258,0.685,119.795,150365,3,690000
3znIACSXPLn3HFCf7moZ28,It's Going Down Now,高橋あず美,76,0.483,0.952,1,-5.747,0,0.0531,0.00151,0.000265,0.291,0.798,83.977,186093,4,790000
3awweDjWIuXNMogMClJnvE,Sexy to Someone,Clairo,72,0.716,0.545,0,-6.949,0,0.0329,0.352,0.00369,0.101,0.826,98.23,207796,4,720000
2d8UxVNhJinc8uat9PoM9y,Who’s Afraid of Little Old Me?,Taylor Swift,74,0.606,0.338,0,-10.555,1,0.048,0.315,0,0.106,0.238,119.88,334085,4,830000
6dODwocEuGzHAavXqTbwHv,Fortnight (feat. Post Malone),Taylor Swift,74,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53E-05,0.0961,0.281,192.004,228965,4,690000
2DbDefRFJ5YOfXCKOeCJJh,Igloo,KISS OF LIFE,79,0.916,0.609,11,-4.457,0,0.217,0.168,0,0.0906,0.873,139.912,131787,4,720000
0zNMdrDEs5N0JPQ7RYQZln,QUEMA,Ryan Castro,78,0.819,0.861,0,-3.322,1,0.0491,0.0286,0.000836,0.0676,0.905,97.014,150928,4,710000
6HuHyXviAdpmnQu73JHfBz,Ghost Town,Benson Boone,76,0.391,0.335,0,-10.064,1,0.0763,0.389,0,0.102,0.116,174.185,193733,3,700000
63pLfjK6FvcYJYMGwtHjd6,SORRY 4 THAT MUCH,Feid,82,0.819,0.675,7,-4.281,1,0.0727,0.0318,0,0.289,0.602,92.99,207747,4,770000
11nmHJICkQ9emiYJJINygH,New To Country,Bailey Zimmerman,70,0.575,0.931,8,-4.995,0,0.0356,0.198,1.72E-05,0.39,0.924,146.029,177123,4,710000
3Fra5SMXXDTSRXVoDf8Xwd,GIRLS,The Kid LAROI,73,0.731,0.734,7,-3.145,0,0.0515,0.0382,1.67E-06,0.353,0.797,101.008,152980,4,730000
32ioWMgkyA6mFcXJMggBoz,GEEK TIMË,Yeat,72,0.638,0.752,1,-6.227,0,0.0385,0.0066,0.734,0.17,0.242,158.042,170188,4,740000
2JapCT0xikq6Fy1PQiJz1C,The Viper,BabyChiefDoit,68,0.652,0.831,10,-5.972,0,0.264,0.0111,0,0.269,0.648,139.905,150997,4,380000
39glDGcpBhLVMSsQhvtqHR,I Only Smoke When I Drink,nimino,79,0.88,0.729,11,-6.378,0,0.176,0.334,0.0113,0.185,0.246,127.028,198425,4,740000
7IBqHkoP94VrgYKVns4eNz,FUNK DO BOUNCE (Slowed),Ariis,83,0.818,0.92,6,2.194,0,0.0716,0.111,0.00122,0.0879,0.793,110.449,107539,4,700000
4YLizxRQsTqqnvzzYq2VaE,Mr Chow,Lil Uzi Vert,70,0.736,0.683,1,-5.5,1,0.152,0.0082,0,0.161,0.233,129.893,177273,4,690000
2z865bsdfckaBVck8MSAm8,4×4×U,Lainey Wilson,69,0.579,0.727,7,-5.676,1,0.0281,0.0989,1.74E-06,0.18,0.465,142.129,239453,4,770000
1mHD6G4fg3Xv5GHPbp1YPx,Not Sorry for Loving You,Jorge Rivera-Herrans,72,0.562,0.503,8,-7.197,1,0.0363,0.867,0,0.0729,0.495,87.107,184828,4,690000
7sTyAjxDXq9afwfSQy6D0s,BANDIT,Don Toliver,72,0.686,0.733,2,-5.268,1,0.0576,0.00567,0,0.246,0.141,130.095,147747,4,740000
3IQU5PZDEIKayRyB0txMdC,El Plumas,Neton Vega,77,0.74,0.798,4,-5.286,0,0.0428,0.255,0.000112,0.2,0.633,107.569,150528,4,700000
